TopicName MS,ID Topic MS,main_keywords
BIDV MS,628de2248aecfa7ef453a492,"bidv, ngân hàng Đầu tư và Phát triển Việt Nam, Ngân hàng TMCP Đầu tư và Phát triển Việt Nam, Ngân hàng TMCP đầu tư phát triển, 
 bảo hiểm BIC"
CBBANK MS,63eaf788d283252e9cdf164b,CBBANK
CITIBANK MS,63eaf7b0d283252e9cdf164c,CITIBANK
DONGA BANK MS,63eaf81cd283252e9cdf164d,DONGA BANK
EXIMBANK MS,63eaf93fd283252e9cdf164e,EXIMBANK
GP BANK MS,63eaf95fd283252e9cdf164f,GP BANK
HDBank MS,63ec4b14f25ec30eba7b9e5b,HDBank
HONGLEONG BANK MS,63eaf98ed283252e9cdf1650,HONGLEONG BANK
HSBC MS,63eafa13d283252e9cdf1651,HSBC
INDOVINA BANK MS,63eafa3bd283252e9cdf1652,INDOVINA BANK
KIENLONG BANK MS,63eafa80d283252e9cdf1653,KIENLONG BANK
KOOKMIN BANK MS,63eafaa1d283252e9cdf1654,KOOKMIN BANK
LPBank MS,63eafac4d283252e9cdf1655,LPBANK
MB Bank MS,628dda548aecfa7ef453a48d,"MBBank, mb bank"
MSB - HD MS,63eafb1bd283252e9cdf1657,msb
NAM A BANK MS,63eafb59d283252e9cdf1658,NAM A BANK
NCB MS,63eafb7dd283252e9cdf1659,NCB
OCB MS,63eafb9ad283252e9cdf165a,ocb
OCEANBANK MS,63eafbcad283252e9cdf165b,OCEANBANK
PGBANK MS,63eafbe8d283252e9cdf165c,PGBANK
PVCOMBANK MS,63eafc0fd283252e9cdf165d,PVCOMBANK
Sacombank MS,628de3c78aecfa7ef453a495,sacombank
SAIGONBANK MS,63eafc91d283252e9cdf165f,SAIGONBANK
SCB MS,63eafcecd283252e9cdf1660,SCB
SEABANK MS,63eafd23d283252e9cdf1661,SEABANK
SHB - HD MS,63eafd4dd283252e9cdf1662,shb
SHINHAN BANK MS,63eafdb2d283252e9cdf1663,SHINHAN BANK
STANDARD CHARTERED MS,63eafdd6d283252e9cdf1664,STANDARD CHARTERED
Techcombank MS,628c661a8aecfa7ef453a484,Techcombank
TPBank MS,628ddae08aecfa7ef453a48e,"TPBank, TP bank"
UOB MS,63eafe50d283252e9cdf1667,uob
VIB MS,628c64098aecfa7ef453a482,vib
VIET A BANK MS,63eafe9dd283252e9cdf1669,VIET A BANK
VIET CAPITAL BANK MS,63eafeb1d283252e9cdf166a,VIET CAPITAL BANK
VIETBANK MS,63eaffe1d283252e9cdf166f,VIETBANK
Vietcombank MS,628ddfd78aecfa7ef453a490,"vietcombank, vcb, vietcom, vcbs, VCBdigibank, vietcomdigibank"
Vietinbank MS,628de2ab8aecfa7ef453a493,"viettin, viettinbank, CTG, vietinbank, Viettinbank"
VPBank MS,628dd8ae8aecfa7ef453a48c,VPBank
WOORI BANK MS,63eaff4bd283252e9cdf166e,WOORI BANK
VIB MS,628c64098aecfa7ef453a482,vib
Techcombank MS,628c661a8aecfa7ef453a484,Techcombank
VPBank MS,628dd8ae8aecfa7ef453a48c,VPBank
MB Bank MS,628dda548aecfa7ef453a48d,"MBBank, mb bank"
TPBank MS,628ddae08aecfa7ef453a48e,"TPBank, TP bank"
Vietcombank MS,628ddfd78aecfa7ef453a490,"vietcombank, vcb, vietcom, vcbs, VCBdigibank, vietcomdigibank"
ACB MS,628de2e88aecfa7ef453a494,"ACB,acbbank"
Sacombank MS,628de3c78aecfa7ef453a495,sacombank
HDBank MS,63ec4b14f25ec30eba7b9e5b,HDBank
MSB - HD MS,63eafb1bd283252e9cdf1657,msb
Central Retail MS,5f5834dcde8922153b21825b,"central retail, centralretail"
BigC MS,5f5833f2de8922153b218218,"bigc,Big C, BigC, Bic C, Bích si/ci, bigcvietnam, bigcvn"
Go! Việt Nam MS,5f5ed24567e18a780f3850c8,"go! việt nam, go!vietnam"
Tops Market MS,6041f582014a66c043607a9b,"tops market, topsmarket,Tops market, Top market, Topmarket, Topsmarket, Top mat ket, Top mac ket, Top matket, Top macket, Top mackit, Tốp mắc kít"
Nguyễn Kim MS,5f5ed36367e18a780f3851fa,"nguyễn kim, nguyenkim,nguyenkim.com, sieuthinguyenkim, nguyenkimsupermarket, nguyenkimsupercenter, trungtamnguyenkim, ttmsnk"
Lan Chi Mart MS,5f58341ede8922153b21822d,"lan chi mart, lanchimart,Lan Chi mart, Lanchi mart, Lan chi, LanChi, lanchii, lanchiimart"
Aeon Mall MS,5f5edb6967e18a780f3869f1,"aeonmall, aeon mall"
Vinmart MS,5f5ede4767e18a780f38721d,"wcm, vinmart, winmart, siêu thị vin, siêu thị win,, Wincommerce, Wincomerce, vincommerce, vincommerce"
Vincom MS,69a0f82f70a3126a82dc58e5,vincom
Mega Market MS,5f5edf1f67e18a780f387692,mega
Bách hóa xanh MS,5f5edf4167e18a780f3877d5,"bhx, bách hóa xanh, bachhoaxanh"
LotteMart MS,6041f45c014a66c0436079d3,LotteMart
Saigon Co.op MS,63e5b2730259953747c26170,"saigonco.op,Saigon Co.op"
CoopMart MS,60b0b22578e46d029a0a521c,"coop, co.op, coopmart, co.opmart,SaiGonCo.op, SaiGonCoop"
